symbol,date,lit_buy_volume,lit_sell_volume,lit_buy_ratio,classification_method,lit_coverage_pct
AAPL,2025-12-15,2802774.0,2103179.0,0.5713006219179027,NBBO,15.3453
AMZN,2025-12-15,5872772.0,2482384.0,0.702891962759283,NBBO,18.1586
AVGO,2025-12-15,4911309.0,5802373.0,0.4584146701386134,NBBO,16.8798
GOOGL,2025-12-15,3322461.0,1588521.0,0.6765369940268565,NBBO,18.9258
META,2025-12-15,1336611.0,1573608.0,0.45928193032895465,NBBO,16.8798
NVDA,2025-12-15,18736601.0,7968130.0,0.7016210348645714,NBBO,18.6701
