symbol,date,finra_off_exchange_volume,estimated_dark_buy_volume,estimated_dark_sell_volume,applied_lit_buy_ratio,inference_version
NVDA,2025-12-15,46907,32910.93788239245,13996.06211760755,0.7016210348645714,OptionB_v1
AVGO,2025-12-15,592,271.38148472205916,320.6185152779409,0.4584146701386134,OptionB_v1
AMZN,2025-12-15,1565,1100.025921718278,464.9740782817221,0.702891962759283,OptionB_v1
NVDA,2025-12-15,125960,88376.1855515414,37583.81444845859,0.7016210348645714,OptionB_v1
AVGO,2025-12-15,118909,54509.63001151238,64399.369988487626,0.4584146701386134,OptionB_v1
GOOGL,2025-12-15,1525663,1032167.459917996,493495.540082004,0.6765369940268565,OptionB_v1
AAPL,2025-12-15,397021,226818.34421446762,170202.65578553238,0.5713006219179027,OptionB_v1
AAPL,2025-12-15,111800,63871.409530421515,47928.590469578485,0.5713006219179027,OptionB_v1
META,2025-12-15,115378,52991.03055749413,62386.96944250588,0.45928193032895465,OptionB_v1
