symbol,date,finra_off_exchange_volume,estimated_dark_buy_volume,estimated_dark_sell_volume,applied_lit_buy_ratio,inference_version
NVDA,2025-12-11,46907,27209.85606375406,19697.14393624594,0.5800809274469495,OptionB_v1
AVGO,2025-12-11,592,262.4550650006964,329.54493499930356,0.44333625844712227,OptionB_v1
AMZN,2025-12-11,1565,773.9919218735439,791.0080781264561,0.49456352835370215,OptionB_v1
NVDA,2025-12-11,125960,73066.99362121776,52893.006378782244,0.5800809274469495,OptionB_v1
AVGO,2025-12-11,118909,52716.67115568886,66192.32884431114,0.44333625844712227,OptionB_v1
GOOGL,2025-12-11,1525663,869976.745105454,655686.254894546,0.5702286449271261,OptionB_v1
AAPL,2025-12-11,397021,231624.0363778132,165396.9636221868,0.5834049996796472,OptionB_v1
AAPL,2025-12-11,111800,65224.67896418456,46575.32103581544,0.5834049996796472,OptionB_v1
META,2025-12-11,115378,62426.32325596486,52951.67674403514,0.5410591556099504,OptionB_v1
