date,symbol,estimated_bought,estimated_sold,buy_ratio,total_off_exchange_volume,finra_period_type
2025-12-10,NVDA,26286.298246159215,20620.701753840785,0.5603918017813805,46907,weekly
2025-12-10,AVGO,339.5472508635738,252.45274913642615,0.5735595453776585,592,weekly
2025-12-10,AMZN,947.2486108840285,617.7513891159715,0.6052706778811684,1565,weekly
2025-12-10,NVDA,70586.95135238269,55373.04864761732,0.5603918017813805,125960,weekly
2025-12-10,AVGO,68201.391981312,50707.608018688006,0.5735595453776585,118909,weekly
2025-12-10,GOOGL,1003939.9319376356,521723.06806236436,0.6580351833515237,1525663,weekly
2025-12-10,AAPL,203036.77430740694,193984.22569259306,0.5114005916750171,397021,weekly
2025-12-10,AAPL,57174.58614926691,54625.41385073309,0.5114005916750171,111800,weekly
2025-12-10,META,50333.60954052003,65044.390459479975,0.4362496276631596,115378,weekly
