date,symbol,estimated_bought,estimated_sold,buy_ratio,total_off_exchange_volume,finra_period_type
2025-12-17,A,11923.050132050295,7819.949867949704,0.6039127859013471,19743,weekly
2025-12-17,A,85523.71308820517,56092.28691179483,0.6039127859013471,141616,weekly
2025-12-17,A,172173.11960933046,112922.88039066954,0.6039127859013471,285096,weekly
2025-12-17,A,5229.280813119764,3429.719186880235,0.6039127859013471,8659,weekly
2025-12-17,A,65843.40322125207,43184.596778747924,0.6039127859013471,109028,weekly
2025-12-17,A,84790.56296612094,55611.43703387906,0.6039127859013471,140402,weekly
