symbol,date,finra_off_exchange_volume,estimated_dark_buy_volume,estimated_dark_sell_volume,applied_lit_buy_ratio,inference_version
NVDA,2025-12-09,46907,22719.55895191564,24187.441048084358,0.48435327247352505,OptionB_v1
AVGO,2025-12-09,592,313.1396275842377,278.8603724157623,0.5289520736220231,OptionB_v1
AMZN,2025-12-09,1565,754.4353398498786,810.5646601501214,0.4820673098082291,OptionB_v1
NVDA,2025-12-09,125960,61009.138200765214,64950.86179923478,0.48435327247352505,OptionB_v1
AVGO,2025-12-09,118909,62897.16212232115,56011.83787767885,0.5289520736220231,OptionB_v1
GOOGL,2025-12-09,1525663,784360.8489559462,741302.1510440538,0.5141114708529644,OptionB_v1
AAPL,2025-12-09,397021,289648.2987168303,107372.70128316965,0.7295541009589678,OptionB_v1
AAPL,2025-12-09,111800,81564.1484872126,30235.8515127874,0.7295541009589678,OptionB_v1
META,2025-12-09,115378,56918.60714329097,58459.39285670904,0.4933228790869227,OptionB_v1
