symbol,date,finra_off_exchange_volume,estimated_dark_buy_volume,estimated_dark_sell_volume,applied_lit_buy_ratio,inference_version
NVDA,2025-12-08,46907,27385.014994636225,19521.985005363775,0.5838151021091996,OptionB_v1
AVGO,2025-12-08,592,210.12526378711885,381.87473621288115,0.3549413239647278,OptionB_v1
AMZN,2025-12-08,1565,713.5073397637751,851.4926602362249,0.45591523307589465,OptionB_v1
NVDA,2025-12-08,125960,73537.35026167479,52422.64973832521,0.5838151021091996,OptionB_v1
AVGO,2025-12-08,118909,42205.717891321816,76703.28210867819,0.3549413239647278,OptionB_v1
GOOGL,2025-12-08,1525663,708899.9751321232,816763.0248678768,0.4646504340290898,OptionB_v1
AAPL,2025-12-08,397021,225681.82209712386,171339.17790287614,0.5684379972271589,OptionB_v1
AAPL,2025-12-08,111800,63551.368089996366,48248.631910003634,0.5684379972271589,OptionB_v1
META,2025-12-08,115378,66425.72396458827,48952.276035411734,0.5757226157897369,OptionB_v1
