symbol,date,lit_buy_volume,lit_sell_volume,lit_buy_ratio,classification_method,lit_coverage_pct
AAPL,2025-12-08,3970889.0,3014726.0,0.5684379972271589,NBBO,21.7391
AMZN,2025-12-08,2063176.0,2462174.0,0.45591523307589465,NBBO,17.1355
AVGO,2025-12-08,1683968.0,3060388.0,0.3549413239647278,NBBO,15.8568
GOOGL,2025-12-08,2674612.0,3081569.0,0.4646504340290898,NBBO,19.6931
META,2025-12-08,1047468.0,771929.0,0.5757226157897369,NBBO,20.2046
NVDA,2025-12-08,21573455.0,15379092.0,0.5838151021091996,NBBO,21.9949
