symbol,date,lit_buy_volume,lit_sell_volume,lit_buy_ratio,classification_method,lit_coverage_pct
AAPL,2025-12-11,2413001.0,1723064.0,0.5834049996796472,NBBO,16.624
AMZN,2025-12-11,2218338.0,2267108.0,0.49456352835370215,NBBO,19.6931
AVGO,2025-12-11,2330014.0,2925622.0,0.44333625844712227,NBBO,18.6701
GOOGL,2025-12-11,2498637.0,1883179.0,0.5702286449271261,NBBO,16.1125
META,2025-12-11,1200699.0,1018465.0,0.5410591556099504,NBBO,17.3913
NVDA,2025-12-11,17798789.0,12884497.0,0.5800809274469495,NBBO,21.2276
