symbol,date,lit_buy_volume,lit_sell_volume,lit_buy_ratio,classification_method,lit_coverage_pct
AAPL,2025-12-10,2312420.0,2209319.0,0.5114005916750171,NBBO,15.0895
AMZN,2025-12-10,4564532.0,2976775.0,0.6052706778811684,NBBO,20.4604
AVGO,2025-12-10,1875117.0,1394146.0,0.5735595453776585,NBBO,21.7391
GOOGL,2025-12-10,3899656.0,2026556.0,0.6580351833515237,NBBO,21.9949
META,2025-12-10,1003228.0,1296437.0,0.4362496276631596,NBBO,18.1586
NVDA,2025-12-10,17023590.0,13354424.0,0.5603918017813805,NBBO,22.7621
