symbol,date,lit_buy_volume,lit_sell_volume,lit_buy_ratio,classification_method,lit_coverage_pct
AAPL,2025-12-12,5489198.0,2047191.0,0.7283591651120981,NBBO,21.4834
AMZN,2025-12-12,2771158.0,2229133.0,0.5541993455980861,NBBO,19.1816
AVGO,2025-12-12,8219824.0,7594685.0,0.5197647299704341,NBBO,21.7391
GOOGL,2025-12-12,4484898.0,2550658.0,0.6374617727440447,NBBO,19.6931
META,2025-12-12,971897.0,732725.0,0.5701539696190709,NBBO,16.3683
NVDA,2025-12-12,19472675.0,11763174.0,0.6234078990457407,NBBO,18.4143
